Standard,Premium,Family,Download offline,Contract,Discount,Expected Result
true,false,false,true,true,true,300
true,false,false,true,true,false,350
true,false,false,true,false,true,200
true,false,false,true,false,false,250
true,false,false,false,true,true,200
true,false,false,false,true,false,250
true,false,false,false,false,true,100
true,false,false,false,false,false,150
false,true,false,true,true,true,500
false,true,false,true,true,false,550
false,true,false,true,false,true,400
false,true,false,true,false,false,450
false,true,false,false,true,true,400
false,true,false,false,true,false,450
false,true,false,false,false,true,300
false,true,false,false,false,false,350
false,false,true,true,true,true,600
false,false,true,true,true,false,650
false,false,true,true,false,true,500
false,false,true,true,false,false,550
false,false,true,false,true,true,500
false,false,true,false,true,false,550
false,false,true,false,false,true,400
false,false,true,false,false,false,450
true,true,true,-,-,-,Error
true,true,false,-,-,-,Error
true,false,true,-,-,-,Error
false,true,true,-,-,-,Error
false,false,false,-,-,-,Error
